day,yw,RM_weekly,rf_weekly,RM_RF_weekly,SMB_ew,HML_ew,MOM_ew,SMB_vw,HML_vw,MOM_vw
12feb1986,1986w7,-.022731639,.0020766668,-.024808306,.020159664,.020192163,-.0027161592,.034222815,.035237178,.00069876126
19feb1986,1986w8,.016413314,.0020513888,.014361925,.04098396,.01383571,.02758899,.076720186,.10324193,.043164674
26feb1986,1986w9,-.0046897661,.0019891665,-.0066789323,-.0011189447,-.0072431248,.0020655943,-.0018175589,-.013142291,-.0018071234
05mar1986,1986w10,.034132678,.0021972223,.031935457,-.014878219,-.0024108719,.014110178,-.0046045543,.0037774853,.01184213
12mar1986,1986w11,.012291168,.0021097222,.010181446,-.018179933,-.0070234248,.01156006,-.017875167,-.011767497,-.0051005254
19mar1986,1986w12,.055899277,.0020999999,.053799279,-.009863195,.00037247781,-.015984736,-.024660418,.0035312362,-.013937527
26mar1986,1986w13,.013505992,.0021486112,.01135738,-.013382435,-.0060358308,.00023480086,-.0096612638,-.0037892717,.0040440825
02apr1986,1986w14,.059287738,.0020358334,.057251904,-.034809563,.042266082,-.037100665,-.033369444,.030081602,-.018706216
09apr1986,1986w15,.026893165,.0020416668,.024851497,.042549282,.0087825926,-.006504003,.043882612,.025430005,-.013958257
16apr1986,1986w16,.02509932,.0020805555,.023018764,.0080759544,.012820057,.012385313,-.0056176134,-.0085779922,.0055232295
23apr1986,1986w17,-.040686972,.0023333333,-.043020304,.022994768,-.015716506,.020876169,.034555659,-.0084561296,.025886491
30apr1986,1986w18,-.014484334,.0021972223,-.016681556,.017106507,-.015669979,.017250434,.011138397,-.0028081615,.0001174612
07may1986,1986w19,.019797364,.0020999999,.017697364,.015266114,.01211356,-.011656352,.0011774109,.0045547821,-.0035625659
14may1986,1986w20,.021416184,.0021777777,.019238405,.0040774965,.019901933,-.036089424,.016422587,.031391323,-.015795588
21may1986,1986w21,.00092134357,.0021388889,-.0012175454,-.40955743,-.59465545,-.019442312,-.029338261,-.038887829,-.032163408
28may1986,1986w22,.052218392,.0020222222,.050196171,.0056081642,-.02539446,.032847431,-.0021342169,-.01533852,.034365118
04jun1986,1986w23,.01670895,.0019347222,.014774228,-.035292294,.019089498,-.043782689,-.012145236,.0052872407,-.037072185
11jun1986,1986w24,.0093050124,.0019036111,.0074014012,.0026764143,.010077136,.019184975,.0084166666,.0054697408,.0058863731
18jun1986,1986w25,-.019972963,.001928889,-.021901852,.013865512,.049645551,-.041163191,.00083273835,.024846744,-.028301429
25jun1986,1986w26,.0055050887,.0019308334,.0035742554,-.0016802113,-.0067361151,-.00040465436,.0025488362,-.0022278989,-.0057941955
02jul1986,1986w27,.019069629,.0019211111,.017148517,-.0034528957,.0096417759,.00085125305,-.0074655302,-.0013906783,.0084384028
09jul1986,1986w28,.0089016091,.0019094443,.006992165,-.0028115027,-.0091655562,-.0054437979,.005858175,-.0075393068,-.0062456885
16jul1986,1986w29,-.0099409791,.0019133333,-.011854312,.015336911,-.0035418696,-.0071795569,.023967832,-.0075756637,-.0018295173
23jul1986,1986w30,.0081831869,.0018569445,.0063262424,-.0019885367,.020825526,-.017238427,.014624321,.018832549,-.0065276739
30jul1986,1986w31,.038500447,.0018083333,.036692113,.003004431,.0049098907,-.00034130458,-.001258033,.0010108426,.0087061534
06aug1986,1986w32,.021418218,.0018141667,.019604051,-.018964356,-.0070564202,.0040116254,-.025112718,-.010398687,-.00098800717
13aug1986,1986w33,-.010944347,.0018472222,-.012791569,.046721391,-.027503414,.027360206,.050550357,-.025248308,.013173755
20aug1986,1986w34,-.0092862556,.0018374999,-.011123756,.019903464,.009007046,-.024113186,.056627888,.060139835,-.046237022
27aug1986,1986w35,-.024365941,.0018374999,-.026203441,.0075164004,-.010776995,.0026260989,.013740231,-.014058262,-.00033627276
03sep1986,1986w36,.0081941905,.0017636111,.0064305793,-.0051971809,.0028617729,-.0062304744,-.0047810776,.0052579287,-.0093202312
10sep1986,1986w37,.023628911,.001746111,.0218828,-.0087442724,.0054681166,.0029412063,-.016146677,-.0087271594,.016010609
17sep1986,1986w38,-.025845205,.0016333333,-.027478538,.016019007,.0046062991,-.0040450674,.025398035,.0085182907,-.0096196756
24sep1986,1986w39,.007134757,.0016936111,.005441146,.013201744,-.015931025,-.015290763,.03039787,-.0070957397,-.027089577
01oct1986,1986w40,.031609196,.0016586111,.029950585,-.015840057,-.016921625,.014778453,-.012261739,-.023768455,.012721726
08oct1986,1986w41,-.0012847479,.0016586111,-.0029433588,-.020432226,-.034063879,-.012813541,-.016663635,-.016355164,.01030604
15oct1986,1986w42,-.0089820363,.0016508333,-.01063287,-.0031394726,-.01589806,.0042640222,-.0096053928,-.013472524,-.0043757642
22oct1986,1986w43,.025742939,.0016527778,.024090162,-.016528707,.0051691271,.0010764189,-.012139144,.0083912369,-.0078511108
29oct1986,1986w44,.039700314,.0016527778,.038047537,-.0024433013,-.020990225,.032000966,.0081870081,-.02178137,.037225042
05nov1986,1986w45,.0015941577,.0016197222,-.000025564572,.020526316,-.0028774287,-.0004697016,.015462257,-.01764123,.010985275
12nov1986,1986w46,-.030853774,.0016469446,-.032500718,.0060118595,-.0065210946,.0021189013,.0081865964,-.00031504221,-.0039537484
19nov1986,1986w47,-.021616103,.0017208334,-.023336936,.016414389,-.014746113,.012614364,-.000013049071,-.0011529168,.001698209
26nov1986,1986w48,-.019711921,.0017149999,-.021426922,.0063614533,.0081978999,-.011398962,.0085605849,.0050703138,-.0066843405
03dec1986,1986w49,-.0089781564,.0018958333,-.01087399,.046502378,-.02995686,.048692171,.024902286,-.01585526,.023021713
10dec1986,1986w50,.0084757637,.0018958333,.0065799304,-.010616782,.033794921,-.052772064,.018433403,.067671768,-.05592018
17dec1986,1986w51,.01047672,.0018958333,.0085808858,-.012426713,-.0064494284,.0088938521,-.0044387258,-.013431165,.0027549055
24dec1986,1986w52,.0068280501,.0021666666,.0046613836,-.0033634242,-.0074837129,.012352814,-.0038770356,-.006466548,.0097521218
01jan1987,1987w1,-.0050407927,.0018083333,-.006849126,-.0017426667,.035706002,-.02221889,.00058778998,.03215307,-.019279107
08jan1987,1987w2,-.11795517,.0018569445,-.11981212,.00086358684,-.0077265948,-.022248615,.0058417642,-.003492862,-.022496149
15jan1987,1987w3,.049023677,.0018530556,.04717062,-.012577401,.020312954,.0033278372,-.0090339733,.015928904,.0023610443
22jan1987,1987w4,-.065705068,.0018822222,-.067587294,.016651498,-.0014597662,.016498517,.025355462,.0027741622,.010114403
29jan1987,1987w5,.066846579,.0019541667,.064892411,-.0098485621,.00062352885,.017230298,-.0062224856,.0065317173,.012067959
05feb1987,1987w6,.010192947,.0019152778,.0082776686,-.0092601459,-.0076218084,.0034832666,-.0016628428,-.010672892,-.00087479316
12feb1987,1987w7,.01744286,.0021388889,.015303971,-.0097144675,.00082898303,.021717055,-.021036867,-.007702278,.029312132
